Fri Jan  9 15:36:56 2026    branch/profil/profiling_results_opt_C.prof

         1596940 function calls (1596890 primitive calls) in 36.329 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    46/10    0.000    0.000    0.004    0.000 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/pyscf/lib/chkfile.py:109(save_as_group)
      289    0.003    0.000    0.004    0.000 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/numpy/lib/twodim_base.py:158(eye)
    20736    0.004    0.000    0.004    0.000 {method 'pop' of 'list' objects}
     1153    0.001    0.000    0.004    0.000 {built-in method builtins.next}
     3239    0.004    0.000    0.004    0.000 {method 'reshape' of 'numpy.ndarray' objects}
     6056    0.004    0.000    0.004    0.000 {built-in method builtins.sorted}
     1174    0.004    0.000    0.004    0.000 {method 'view' of 'numpy.ndarray' objects}
     2884    0.002    0.000    0.003    0.000 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/numpy/core/numerictypes.py:283(issubclass_)
       19    0.000    0.000    0.003    0.000 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/pyscf/scf/uhf.py:243(get_fock)
      594    0.001    0.000    0.003    0.000 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/numpy/core/fromnumeric.py:1025(argsort)
    17619    0.003    0.000    0.003    0.000 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/numpy/core/einsumfunc.py:1001(_einsum_dispatcher)
       37    0.000    0.000    0.003    0.000 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/h5py/_hl/group.py:450(__setitem__)
      577    0.001    0.000    0.003    0.000 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/numpy/core/_ufunc_config.py:435(__exit__)
      576    0.001    0.000    0.003    0.000 /usr/lib/python3.12/contextlib.py:299(helper)
      576    0.001    0.000    0.003    0.000 /usr/lib/python3.12/contextlib.py:141(__exit__)
        7    0.000    0.000    0.003    0.000 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/pyscf/scf/diis.py:48(update)
      622    0.001    0.000    0.003    0.000 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/numpy/core/fromnumeric.py:53(_wrapfunc)
    13824    0.003    0.000    0.003    0.000 {method 'isdisjoint' of 'set' objects}
      288    0.001    0.000    0.003    0.000 {method 'all' of 'numpy.generic' objects}
       37    0.000    0.000    0.003    0.000 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/h5py/_hl/group.py:74(create_dataset)
    12960    0.003    0.000    0.003    0.000 {method 'copy' of 'set' objects}
     6117    0.003    0.000    0.003    0.000 {built-in method numpy.asanyarray}
      576    0.001    0.000    0.003    0.000 /usr/lib/python3.12/contextlib.py:132(__enter__)
     1152    0.001    0.000    0.003    0.000 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/numpy/core/_ufunc_config.py:452(_no_nep50_warning)
       19    0.000    0.000    0.002    0.000 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/pyscf/lib/misc.py:1164(__init__)
      625    0.000    0.000    0.002    0.000 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/scipy/_lib/_sparse.py:10(issparse)
       14    0.000    0.000    0.002    0.000 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/pyscf/gto/moleintor.py:41(getints)
       13    0.000    0.000    0.002    0.000 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/pyscf/gto/mole.py:3448(intor)
     5327    0.002    0.000    0.002    0.000 {built-in method builtins.issubclass}
       19    0.000    0.000    0.002    0.000 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/h5py/_hl/files.py:382(__init__)
     1225    0.002    0.000    0.002    0.000 {built-in method builtins.abs}
     1154    0.002    0.000    0.002    0.000 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/numpy/core/_ufunc_config.py:132(geterr)
       37    0.002    0.000    0.002    0.000 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/h5py/_hl/dataset.py:36(make_new_dset)
     3049    0.002    0.000    0.002    0.000 {built-in method builtins.getattr}
      290    0.002    0.000    0.002    0.000 {method 'copy' of 'numpy.ndarray' objects}
      594    0.002    0.000    0.002    0.000 {method 'argsort' of 'numpy.ndarray' objects}
      590    0.002    0.000    0.002    0.000 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/scipy/linalg/lapack.py:1059(_check_work_float)
      606    0.001    0.000    0.002    0.000 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/scipy/linalg/blas.py:395(getter)
     3456    0.002    0.000    0.002    0.000 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/numpy/core/einsumfunc.py:273(_update_other_results)
      296    0.001    0.000    0.002    0.000 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/numpy/linalg/linalg.py:159(_commonType)
     6171    0.002    0.000    0.002    0.000 {method 'replace' of 'str' objects}
