Wed Jan  7 14:08:20 2026    branch/profil/profiling_results.prof

         1450306 function calls (1450256 primitive calls) in 16.460 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      989    0.004    0.000    0.004    0.000 {method 'reduce' of 'numpy.ufunc' objects}
    46/10    0.000    0.000    0.004    0.000 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/pyscf/lib/chkfile.py:109(save_as_group)
     4742    0.003    0.000    0.003    0.000 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/numpy/_core/_internal.py:263(__init__)
      945    0.003    0.000    0.003    0.000 {built-in method numpy.zeros}
    26405    0.003    0.000    0.003    0.000 {method 'append' of 'list' objects}
       11    0.000    0.000    0.003    0.000 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/pyscf/scf/uhf.py:971(get_veff)
       11    0.000    0.000    0.003    0.000 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/pyscf/scf/uhf.py:952(get_jk)
      582    0.000    0.000    0.003    0.000 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/numpy/_core/_methods.py:66(_all)
       37    0.000    0.000    0.003    0.000 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/h5py/_hl/group.py:450(__setitem__)
     8010    0.002    0.000    0.003    0.000 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/numpy/_core/einsumfunc.py:268(<genexpr>)
      267    0.002    0.000    0.003    0.000 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/numpy/_core/einsumfunc.py:553(_parse_einsum_input)
      226    0.001    0.000    0.003    0.000 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/numpy/lib/_function_base_impl.py:598(asarray_chkfinite)
      356    0.001    0.000    0.003    0.000 {method 'all' of 'numpy.generic' objects}
       37    0.000    0.000    0.002    0.000 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/h5py/_hl/group.py:74(create_dataset)
        5    0.002    0.000    0.002    0.000 {built-in method _io.open}
      185    0.001    0.000    0.002    0.000 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/scipy/linalg/lapack.py:1025(_compute_lwork)
