         199956 function calls (199900 primitive calls) in 0.448 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       51    0.000    0.000    0.000    0.000 linalg.py:203(_assert_stacked_2d)
        2    0.000    0.000    0.000    0.000 mole.py:1389(nao_nr)
       15    0.000    0.000    0.000    0.000 mole.py:3517(_add_suffix)
        1    0.000    0.000    0.000    0.000 uhf.py:364(spin_square)
       11    0.000    0.000    0.000    0.000 dispersion.py:109(check_disp)
        4    0.000    0.000    0.000    0.000 {method 'splitlines' of 'str' objects}
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
      174    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
        1    0.000    0.000    0.000    0.000 {built-in method builtins.next}
        1    0.000    0.000    0.000    0.000 _basic.py:404(_ensure_dtype_cdsz)
       25    0.000    0.000    0.000    0.000 {method 'view' of 'numpy.ndarray' objects}
        2    0.000    0.000    0.000    0.000 __init__.py:280(_compile)
      192    0.000    0.000    0.000    0.000 einsumfunc.py:696(_einsum_path_dispatcher)
        8    0.000    0.000    0.000    0.000 diis.py:148(push_vec)
        1    0.000    0.000    0.000    0.000 tempfile.py:292(__next__)
      145    0.000    0.000    0.000    0.000 multiarray.py:741(dot)
        4    0.000    0.000    0.000    0.000 hf.py:437(<genexpr>)
       62    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
        1    0.000    0.000    0.000    0.000 mole.py:1465(ao_loc_nr)
        8    0.000    0.000    0.000    0.000 {method 'repeat' of 'numpy.ndarray' objects}
        2    0.000    0.000    0.000    0.000 misc.py:702(check_sanity)
        3    0.000    0.000    0.000    0.000 mole.py:3200(atom_nelec_core)
        3    0.000    0.000    0.000    0.000 <frozen posixpath>:71(join)
        5    0.000    0.000    0.000    0.000 logger.py:219(new_logger)
        1    0.000    0.000    0.000    0.000 mole.py:3434(nao)
       52    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
       44    0.000    0.000    0.000    0.000 diis.py:187(get_err_vec)
       15    0.000    0.000    0.000    0.000 moleintor.py:864(ascint3)
       36    0.000    0.000    0.000    0.000 diis.py:193(get_vec)
       72    0.000    0.000    0.000    0.000 base.py:339(__init__)
       16    0.000    0.000    0.000    0.000 diis.py:123(_store)
       44    0.000    0.000    0.000    0.000 type_check.py:120(real)
       98    0.000    0.000    0.000    0.000 _misc.py:181(_datacopied)
        2    0.000    0.000    0.000    0.000 function_base.py:5563(append)
        1    0.000    0.000    0.000    0.000 _ufunc_config.py:430(__enter__)
        1    0.000    0.000    0.000    0.000 mp2.py:550(nocc)
        2    0.000    0.000    0.000    0.000 function_base.py:1324(diff)
       86    0.000    0.000    0.000    0.000 {method 'isalpha' of 'str' objects}
        1    0.000    0.000    0.000    0.000 mole.py:3722(__init__)
       27    0.000    0.000    0.000    0.000 elements.py:1127(_rm_digit)
       11    0.000    0.000    0.000    0.000 numpy_helper.py:1331(__array_wrap__)
       92    0.000    0.000    0.000    0.000 linalg.py:2379(_norm_dispatcher)
        2    0.000    0.000    0.000    0.000 _ufunc_config.py:33(seterr)
        1    0.000    0.000    0.000    0.000 {method 'close' of '_io.BufferedRandom' objects}
       25    0.000    0.000    0.000    0.000 <frozen posixpath>:41(_get_sep)
        4    0.000    0.000    0.000    0.000 elements.py:1152(_std_symbol)
        2    0.000    0.000    0.000    0.000 ecp.py:128(core_configuration)
       74    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
       96    0.000    0.000    0.000    0.000 type_check.py:205(_is_type_dispatcher)
       12    0.000    0.000    0.000    0.000 mole.py:3131(atom_symbol)
